"10H007N,M,V,A,jihozápadočeská";"že jo takže  </sp><sp num=02 prekryv=ne>  mmm  </sp><sp num=Y prekryv=ne>  (odmlčení)  </sp><sp num=01 prekryv=ne>  no a teď se zase";"Paroubek";"snaží   von nám . bude taky řikat jako .   co"
"09A228N,M,V,B,východomoravská";"protlačujú toho svojeho blba .   mně sa líbilo jak teďka";"Topolánek";"byl   uražený na Klausa .   a jak to řekl na"
"10H017N,M,I,A,středomoravská";".   tady de vo to že .  </sp><sp num=01 prekryv=ano>  prostě asi ten";"Paroubek";"to vyhraje no  </sp><sp num=02 prekryv=ano>  ale těžko se budou .  </sp><sp num=02 prekryv=ne>  těžko se"
"08A054N,M,V,A,středomoravská";"se nesmí stát .  </sp><sp num=01 prekryv=ne>  proto to bylo důležitý  </sp><sp num=01 prekryv=ano>  ano  </sp><sp num=02 prekryv=ano>  a";"Paroubek";"</sp><sp num=02 prekryv=ne>  převezme  </sp><sp num=01 prekryv=ano>  proto hejtmani byli důležitý  </sp><sp num=02 prekryv=ano>  předsednictví vlády  </sp><sp num=02 prekryv=ne>  proto to dneska"
"11P009N,M,V,A,jihozápadočeská";"kurva (smích) ..  </sp><sp num=01 prekryv=ne>  jo . tak vidíte tak sme drbali";"Topolánka";"Rómy . teď ještě Dělnickou stranu   tu bych volil  </sp><sp num=02 prekryv=ne>  jo  </sp>"
"09A125N,Z,V,B,středočeská";".   a schodili toho Paroubka . jak schodili toho .";"Topolánka";"</sp><sp num=00 prekryv=ano>  hmm .  </sp><sp num=01 prekryv=ano>  jo .  </sp><sp num=01 prekryv=ne>  prtože to víš . mladý lidi"
"10H057N,M,I,A,středomoravská";"! tam sou  </sp><sp num=02 prekryv=ano>  hmm  </sp><sp num=01 prekryv=ne>  uplně brutální prostě ty animovaný na";"Paroubka";"jo ?   tam je třeba   že baví se Paroubek s"
"10H057N,M,I,A,středomoravská";"maj víš jak ?   ódéeska má ...  </sp><sp num=02 prekryv=ne>  jo  </sp><sp num=01 prekryv=ne>  ... s";"Paroubkem";"prostě te*   Paroubkův ksicht a má tam já nevím je"
"10A104N,M,I,B,středočeská";"vyděláš  </sp><sp num=04 prekryv=ne>  naučte se čínsky .  </sp><sp num=04 prekryv=ano>  japonsky teda  </sp><sp num=01 prekryv=ano>  takovýho . takovýho";"Paroubka";"</sp><sp num=02 prekryv=ano>  takže tady máte --- kandidáty  </sp><sp num=01 prekryv=ano>  tak to přečti . přečti"
"10A075N,M,I,B,slezská";"prostě jako když se vyjádřil že eee   osobnost eee pana";"Paroubka";"ubrala straně šest procent .   jo .. je to já"
"08A054N,M,V,A,středomoravská";"června .. a pak přijede  </sp><sp num=02 prekryv=ne>  ten Švéd a .   ten";"Topolánek";"řekne . tady to máte .  </sp><sp num=01 prekryv=ano>  já jedu s Nikolasem"
"10A014N,M,V,A,středomoravská";"to má . Fischer projednat že .   se mu zdá";"Paroubkovi";"že mu dali málo jo jako .  </sp><sp num=02 prekryv=ne>  (smích)  </sp><sp num=01 prekryv=ne>  nebo tak"
"08A054N,M,V,A,středomoravská";"já si myslím že de o to . že to";"Paroubek";"ví .   a proto rychle sestavuje nový předsednictvo vlády   sakum"
"10A014N,M,V,A,středomoravská";"<sp num=01 prekryv=ne>  že ho dostaneš do takové pasti .   no že soudruh";"Paroubek";"to teda to je --- .   no ale ten Topolánek"
"08H007N,Z,I,A,severovýchodočeská";"děje . ale jakmile to jednou pustim tak je tam";"Paroubek";"a .  </sp><sp num=01 prekryv=ne>  hlavně mě dycky dostává . borec nakonec nebo"
"08A054N,M,V,B,středočeská";"to se bude snášet . jo .. ale . eee";"Paroubek";"to dělá proto aby posléze .   řekněme potom v září"
"10A046N,M,I,A,východomoravská";"já se proti tomu jako ohradím .   že to je";"Paroubkova";"země .   ty volíš Paroubka dyž bude vládnout zemi ?"
"08A054N,M,V,B,středočeská";"proběhnout celej ten . nechá toho . Topolánka což .";"Topolánkovi";"se nedá . dá se mu vytknout cokoliv   ale je"
"10A076N,M,I,B,slezská";"..   prtože bych byl horší než   Pohlreich   teda jako .  </sp><sp num=01 prekryv=ne>";"Paroubek";"? .  </sp><sp num=00 prekryv=ne>  Pohlreich  </sp><sp num=00 prekryv=ano>  ---  </sp><sp num=01 prekryv=ano>  on je sprostý ? .  </sp><sp num=00 prekryv=ne>  no"
"10H017N,M,I,A,středomoravská";"mohli vyto vytáhnout  </sp><sp num=01 prekryv=ne>  takže mysíš že bude velká štyřka proti";"Paroubkovi";"? .   Věci veřejný . lidovci  </sp><sp num=03 prekryv=ne>  Věci veřejné nevim jesi"
"09A013N,Z,V,A,východomoravská";"<sp num=03 prekryv=ano>  teda všichni ---  </sp><sp num=03 prekryv=ne>  roku . roku toho .  </sp><sp num=03 prekryv=ano>  takže  </sp><sp num=04 prekryv=ano>  hmm  </sp><sp num=03 prekryv=ne>";"Topolánek";"nevydržel že musel už odejít než přišli Havlovi a   že"
"08A054N,M,V,A,středomoravská";"ministrů .  </sp><sp num=02 prekryv=ano>  tam to je . tam to je .";"Topolánkovo";"zoufalství  </sp><sp num=02 prekryv=ne>  ale v tomle si počíná eště todle vybral .  </sp>"
"08A002N,Z,I,B,středočeská";". jako  </sp><sp num=00 prekryv=ano>  no ne tak to ..  </sp><sp num=00 prekryv=ne>  mysíš že má";"Topolánek";"to byl Paroubek vlasně viď ?  </sp><sp num=01 prekryv=ne>  no  </sp><sp num=00 prekryv=ne>  mysíš že má"
"10A014N,M,V,A,středomoravská";"zase chce ..  </sp><sp num=02 prekryv=ne>  ne von . by možná i ten";"Paroubek";"bez těch poslanců fungoval .  </sp><sp num=01 prekryv=ne>  určitě no .  </sp><sp num=01 prekryv=ano>  totiž  </sp><sp num=02 prekryv=ano>  ale"
"08A002N,Z,I,B,středočeská";"to byl Paroubek vlasně viď ?  </sp><sp num=01 prekryv=ne>  no  </sp><sp num=00 prekryv=ne>  mysíš že má";"Paroubek";"prorockou řeč ?  </sp><sp num=01 prekryv=ne>  --- posuď sama  </sp><sp num=00 prekryv=ne>  nevim tak se podiváme"
"11P009N,M,V,B,jihozápadočeská";"nebude rozhodovat lůza . tak my sme lůza  </sp><sp num=03 prekryv=ne>  no dyť";"Topolánek";"</sp><sp num=03 prekryv=ano>  jo  </sp><sp num=01 prekryv=ano>  taky to  </sp><sp num=03 prekryv=ne>  jak uhořel jak mu sejmuli tam v"
"10A014N,M,V,A,středomoravská";"co to bylo za noviny .   a tam bylo napsaný";"Paroubek";"(odkašlání) .   nikdy sem s nima nemluvil jako s taji"
"08A110N,Z,I,A,středočeská";"právo na nevěru (se smíchem) kdykoli  </sp><sp num=00 prekryv=ano>  to dyž se kouknete na";"Topolánka";"</sp><sp num=03 prekryv=ano>  jako . ňáky  </sp><sp num=00 prekryv=ano>  a na  </sp><sp num=03 prekryv=ano>  mo* morální  </sp><sp num=00 prekryv=ano>  na tydlencty vysoký"
"08A079N,M,V,A,jihozápadočeská";"fakt jesiže maj zakázky   že dělali pro Schwarzenberka teď pro  </sp><sp num=01 prekryv=ano>";"Topolánka";".  </sp><sp num=00 prekryv=ano>  hmm  </sp><sp num=01 prekryv=ne>  pro Barrandov ňáký byť je to seriál ňákej"
"09A127N,Z,V,B,středočeská";".   já ty voly vo* volit nebudu ani toho .";"Topolánka";"mě taky naprd s tim jak von dělal takový ."
"10A075N,M,I,B,slezská";"<sp num=01 prekryv=ne>  mmm . ale stejně to vůbec nechápu jakože to řekl";"Paroubek";"té ženské .  </sp><sp num=00 prekryv=ne>  no v ňákém tom  </sp><sp num=00 prekryv=ano>  eee no ---  </sp>"
"10A075N,M,I,B,slezská";"to co sem chtěl říct   před chvílí .  </sp><sp num=01 prekryv=ne>  (oddechnutí) že";"Paroubek";"napsal dopis .  </sp><sp num=00 prekryv=ne>  jo . počkej já to možná na"
"08A054N,M,V,A,středomoravská";". todle vybral todleto todleten . ab* tudle absurditu dějin";"Topolánek";"vybral tim že . exe* existuje   dyť on chtěl velkou"
"09A175N,M,V,B,jihozápadočeská";"chtěl sem se ve dvanác dívat na ...  </sp><sp num=02 prekryv=ne>  hmm  </sp><sp num=01 prekryv=ne>  ...";"Paroubka";"</sp><sp num=02 prekryv=ne>  je potřeba  </sp><sp num=Y prekryv=ne>  (šramot)  </sp><sp num=02 prekryv=ne>  (odkašlání) nebudem vařit  </sp><sp num=01 prekryv=ne>  ne ? . co"
"09H008N,Z,V,B,středočeská";"<sp num=00 prekryv=ano>  tak oni jak to je . dyť oni dojedou ne  </sp><sp num=01 prekryv=ne>";"Topolánek";"měl připadat dyž druhej den (se smíchem) letěl támle  </sp><sp num=01 prekryv=ano>  a kázal"
"10A075N,M,I,B,slezská";". nebo už sem četl na internetu prostě   ňáké vyhlášení";"Paroubka";"který prostě snad začíná litovat toho že prostě   z tý"
"10A014N,M,V,A,středomoravská";"Paroubek to teda to je --- .   no ale ten";"Topolánek";".  </sp><sp num=01 prekryv=ano>  hňup vyložené jo  </sp><sp num=02 prekryv=ano>  no . no  </sp><sp num=01 prekryv=ne>  a  </sp><sp num=01 prekryv=ano>  teďka ---  </sp>"
"08A068N,M,V,B,středočeská";"<sp num=03 prekryv=ne>  no  </sp><sp num=Y prekryv=ne>  (odmlčení)  </sp><sp num=03 prekryv=ne>  teď si představ dyby byl prezident ten vůl";"Paroubek";"</sp><sp num=02 prekryv=ne>  ježišimarja  </sp><sp num=01 prekryv=ne>  no . tomu bych nepřekládala (smích) řekla poraď si"
"09A228N,Z,V,A,východomoravská";"řeknu šecko  </sp><sp num=01 prekryv=ano>  je enom o tych korytách o techto lobby  </sp><sp num=03 prekryv=ano>";"Topolánek";"je nervák  </sp><sp num=01 prekryv=ano>  jim jedině ide o to aby prostě  </sp><sp num=03 prekryv=ano>  ten"
"10A075N,M,I,B,slezská";"ňáký výcuc eee z eee .. diskuze ..   a pan";"Paroubek";"se tam vyjádřil vo ňáký pani která mu eee ."
"09A125N,Z,V,B,středočeská";". a to mysim že už bylo za vlády právě";"Paroubka";"když se to lámalo potom . po Klausovi jo v"
"10A014N,M,V,A,středomoravská";"pro tu armádu ? .  </sp><sp num=01 prekryv=ne>  no já nevím --- .";"Paroubek";"chce ňáký zase . po soudu --- ten manžel té"
"08A054N,M,V,A,středomoravská";"ne* díky tomu by dyby byla velká koalice   tak byl";"Paroubek";"vyřízenej ..  </sp><sp num=01 prekryv=ano>  to by byl  </sp><sp num=02 prekryv=ano>  tehdy  </sp><sp num=01 prekryv=ne>  vyřízenej ale to se"
"10A029N,M,V,B,pohraničí české";"--- ne abys to zakecala že abysme nešli neska na";"Paroubka";".  </sp><sp num=00 prekryv=ne>  no ..  </sp><sp num=01 prekryv=ano>  ale to je ---  </sp><sp num=02 prekryv=ano>  --- otevřít v"
"10H007N,M,V,A,jihozápadočeská";"..   ale tak ..   no ale ten ten ten tupej";"Paroubek";"von by zaved znova totéž   von prostě . kdo kdo"
"09A010N,Z,I,A,středočeská";"se jako nemají moc rádi ale znají se  </sp><sp num=02 prekryv=ne>  to bylo";"Paroubek";". při rozvodu přišel o psa  </sp><sp num=02 prekryv=ano>  a teď mu eště"
